"name","weekday","income"
Abraham Bennet,Monday   ,231845241
Albert Ringer,Monday   ,392378038
Ann Dull,Monday   ,39656842
Anne Ringer,Monday   ,53386961
Burt Gringlesby,Monday   ,118429815
Charlene Locksley,Monday   ,108450663
Cheryl Carson,Monday   ,77977657
Dean Straight,Monday   ,192550177
Dirk Stringer,Monday   ,759341454
Heather McBadden,Monday   ,293014643
Innes del Castillo,Monday   ,260992756
Johnson White,Monday   ,98560782
Livia Karsen,Monday   ,132386625
Marjorie Green,Monday   ,97539868
Meander Smith,Monday   ,52160238
Michael O'Leary,Monday   ,138096278
Michel DeFrance,Monday   ,479584921
Morningstar Greene,Monday   ,67381291
Reginald Blotchet-Halls,Monday   ,103178571
Sheryl Hunter,Monday   ,153301531
Stearns MacFeather,Monday   ,30778276
Sylvia Panteley,Monday   ,96399427
Abraham Bennet,Tuesday  ,259058032
Albert Ringer,Tuesday  ,419021705
Ann Dull,Tuesday  ,38097808
Anne Ringer,Tuesday  ,55417862
Burt Gringlesby,Tuesday  ,114454018
Charlene Locksley,Tuesday  ,102419646
Cheryl Carson,Tuesday  ,76905547
Dean Straight,Tuesday  ,183459092
Dirk Stringer,Tuesday  ,734550038
Heather McBadden,Tuesday  ,267891418
Innes del Castillo,Tuesday  ,285473369
Johnson White,Tuesday  ,100275590
Livia Karsen,Tuesday  ,145696078
Marjorie Green,Tuesday  ,102488971
Meander Smith,Tuesday  ,63913954
Michael O'Leary,Tuesday  ,125258271
Michel DeFrance,Tuesday  ,467420387
Morningstar Greene,Tuesday  ,67737441
Reginald Blotchet-Halls,Tuesday  ,89298154
Sheryl Hunter,Tuesday  ,163754751
Stearns MacFeather,Tuesday  ,31056506
Sylvia Panteley,Tuesday  ,99289901
Abraham Bennet,Wednesday,214842815
Albert Ringer,Wednesday,403718425
Ann Dull,Wednesday,35589006
Anne Ringer,Wednesday,46106241
Burt Gringlesby,Wednesday,119047498
Charlene Locksley,Wednesday,106731411
Cheryl Carson,Wednesday,66729907
Dean Straight,Wednesday,168092852
Dirk Stringer,Wednesday,642376642
Heather McBadden,Wednesday,249479672
Innes del Castillo,Wednesday,245730068
Johnson White,Wednesday,89036569
Livia Karsen,Wednesday,156662691
Marjorie Green,Wednesday,94949352
Meander Smith,Wednesday,49655899
Michael O'Leary,Wednesday,134525041
Michel DeFrance,Wednesday,439203901
Morningstar Greene,Wednesday,64838804
Reginald Blotchet-Halls,Wednesday,80548671
Sheryl Hunter,Wednesday,140290965
Stearns MacFeather,Wednesday,24953855
